,Unnamed: 0,Close,High,Low,Open,time,volume,MA_20,MA_200,ATR,ExpMA,kelt_upper,kelt_lower
527,527,106.215,106.215,106.215,106.215,2004-01-14 05:00:00,2,106.81975,113.48930000000006,0.0,106.79679263954279,106.79679263954279,106.79679263954279
528,528,106.475,106.475,106.475,106.475,2004-01-15 05:00:00,2,106.77374999999999,113.43525000000005,0.0,106.7661457214911,106.7661457214911,106.7661457214911
529,529,106.72,106.72,106.72,106.72,2004-01-16 05:00:00,2,106.74274999999997,113.37582500000006,0.0,106.76175089087289,106.76175089087289,106.76175089087289
530,530,106.68,106.68,106.68,106.68,2004-01-18 05:00:00,2,106.71274999999996,113.31950000000006,0.0,106.75396509174213,106.75396509174213,106.75396509174213
531,531,107.255,107.255,107.255,107.255,2004-01-19 05:00:00,2,106.70149999999997,113.25917500000007,0.0,106.8016827020524,106.8016827020524,106.8016827020524
532,532,107.075,107.075,107.075,107.075,2004-01-20 05:00:00,2,106.68874999999996,113.19635000000008,0.0,106.82771292090455,106.82771292090455,106.82771292090455
533,533,106.965,106.965,106.965,106.965,2004-01-21 05:00:00,2,106.68524999999997,113.13810000000007,0.0,106.8407878808184,106.8407878808184,106.8407878808184
534,534,106.005,106.005,106.005,106.005,2004-01-22 05:00:00,2,106.63224999999997,113.07230000000007,0.0,106.76118903502616,106.76118903502616,106.76118903502616
535,535,106.52,106.52,106.52,106.52,2004-01-23 05:00:00,2,106.61249999999998,113.01062500000008,0.0,106.73821865073796,106.73821865073796,106.73821865073796
536,536,106.57,106.57,106.57,106.57,2004-01-25 05:00:00,2,106.57149999999999,112.95475000000008,0.0,106.72219782685816,106.72219782685816,106.72219782685816
537,537,106.325,106.325,106.325,106.325,2004-01-26 05:00:00,2,106.54074999999997,112.89307500000008,0.0,106.68436946239548,106.68436946239548,106.68436946239548
538,538,105.635,105.635,105.635,105.635,2004-01-27 05:00:00,2,106.4695,112.82750000000007,0.0,106.58442951359592,106.58442951359592,106.58442951359592
