,Close,High,Low,Open,time,volume
4001,121.5355,121.85,121.338,121.581,2014-12-07 05:00:00,10168
4002,120.182,121.551,120.057,121.536,2014-12-08 05:00:00,36570
4003,118.8705,120.281,117.934,120.1815,2014-12-09 05:00:00,71985
4004,118.195,119.46,117.439,118.868,2014-12-10 05:00:00,66963
4005,118.6625,119.558,117.908,118.1965,2014-12-11 05:00:00,54496
4006,118.807,119.086,118.054,118.666,2014-12-12 05:00:00,43847
4007,118.683,119.062,117.778,118.678,2014-12-14 05:00:00,27942
4008,117.4635,118.979,117.293,118.6835,2014-12-15 05:00:00,63350
4009,116.889,117.766,115.57,117.4675,2014-12-16 05:00:00,108345
4010,118.489,119.008,116.82,116.8925,2014-12-17 05:00:00,75913
4011,119.189,119.368,118.259,118.489,2014-12-18 05:00:00,50201
4012,119.513,119.626,118.837,119.189,2014-12-19 05:00:00,30141
4013,119.529,119.576,119.312,119.536,2014-12-21 05:00:00,8317
4014,120.136,120.186,119.464,119.524,2014-12-22 05:00:00,17363
4015,120.383,120.826,120.054,120.139,2014-12-23 05:00:00,21195
4016,120.46,120.534,120.281,120.386,2014-12-24 05:00:00,8205
4017,120.1915,120.423,120.09,120.115,2014-12-25 05:00:00,11226
4018,120.3795,120.462,120.176,120.191,2014-12-26 05:00:00,7537
4019,120.238,120.602,120.226,120.369,2014-12-28 05:00:00,6334
4020,120.445,120.737,120.17,120.2345,2014-12-29 05:00:00,17851
4021,119.5315,120.486,118.864,120.4415,2014-12-30 05:00:00,27375
4022,119.8845,119.94,119.296,119.5335,2014-12-31 05:00:00,10571
4023,120.4385,120.476,119.726,119.744,2015-01-01 05:00:00,4368
4024,120.495,120.741,119.808,120.4365,2015-01-02 05:00:00,19692
4025,120.5465,120.647,119.984,120.509,2015-01-04 05:00:00,10707
4026,119.2405,120.608,119.09,120.5445,2015-01-05 05:00:00,40648
4027,119.0455,119.392,118.056,119.2385,2015-01-06 05:00:00,61209
4028,119.7445,119.822,118.698,119.049,2015-01-07 05:00:00,50841
4029,119.3465,119.964,119.274,119.741,2015-01-08 05:00:00,35254
4030,118.543,119.773,118.42,119.3495,2015-01-09 05:00:00,44924
4031,118.2735,118.504,118.126,118.343,2015-01-11 05:00:00,6301
4032,118.367,119.319,117.738,118.2695,2015-01-12 05:00:00,49154
4033,117.2665,118.852,117.251,118.3635,2015-01-13 05:00:00,59822
4034,117.6965,117.838,116.071,117.2635,2015-01-14 05:00:00,68363
4035,116.4255,117.944,115.855,117.697,2015-01-15 05:00:00,133546
4036,117.624,117.771,116.264,116.4235,2015-01-16 05:00:00,57956
4037,117.0925,117.664,116.921,117.4605,2015-01-18 05:00:00,12920
4038,118.245,118.314,117.023,117.0925,2015-01-19 05:00:00,30340
4039,117.8395,118.868,117.66,118.2485,2015-01-20 05:00:00,55087
4040,118.11,118.338,117.184,117.8345,2015-01-21 05:00:00,54075
4041,118.6105,118.816,117.249,118.114,2015-01-22 05:00:00,63579
4042,117.799,118.714,117.539,118.61,2015-01-23 05:00:00,43205
4043,117.621,117.832,117.264,117.5155,2015-01-25 05:00:00,15271
4044,118.3075,118.66,117.571,117.626,2015-01-26 05:00:00,34595
4045,118.1015,118.322,117.34,118.3045,2015-01-27 05:00:00,48482
4046,117.8915,118.227,117.253,118.105,2015-01-28 05:00:00,53786
4047,118.0195,118.49,117.586,117.895,2015-01-29 05:00:00,47409
4048,117.535,118.027,117.3,118.019,2015-01-30 05:00:00,38464
4049,117.7065,117.881,116.94,116.9735,2015-02-01 05:00:00,14537
4050,117.057,117.85,116.874,117.71,2015-02-02 05:00:00,43423
4051,117.7325,118.0,116.906,117.0535,2015-02-03 05:00:00,42496
4052,117.3005,117.771,117.027,117.7335,2015-02-04 05:00:00,43772
4053,117.382,117.6,117.077,117.3025,2015-02-05 05:00:00,28440
4054,119.134,119.221,117.178,117.379,2015-02-06 05:00:00,33782
4055,118.8215,119.098,118.728,119.0195,2015-02-08 05:00:00,9035
4056,118.498,119.004,118.333,118.825,2015-02-09 05:00:00,29454
4057,119.6135,119.663,118.464,118.501,2015-02-10 05:00:00,30061
4058,120.2905,120.477,119.464,119.615,2015-02-11 05:00:00,38558
4059,118.5425,120.374,118.414,120.294,2015-02-12 05:00:00,56814
4060,118.799,119.2,118.464,118.5415,2015-02-13 05:00:00,24077
4061,118.444,118.786,118.368,118.4585,2015-02-15 05:00:00,9613
4062,118.5405,118.678,118.237,118.4425,2015-02-16 05:00:00,27862
4063,119.002,119.416,118.434,118.5405,2015-02-17 05:00:00,28886
4064,118.673,119.417,118.434,119.0055,2015-02-18 05:00:00,36049
4065,118.9265,119.18,118.574,118.6715,2015-02-19 05:00:00,27706
4066,119.011,119.19,118.302,118.925,2015-02-20 05:00:00,26697
4067,118.8955,119.16,118.888,119.112,2015-02-22 05:00:00,5416
4068,119.0715,119.354,118.743,118.8985,2015-02-23 05:00:00,19445
4069,118.698,119.84,118.629,119.0735,2015-02-24 05:00:00,33128
4070,118.9445,119.092,118.642,118.702,2015-02-25 05:00:00,21126
4071,119.144,119.503,118.68,118.944,2015-02-26 05:00:00,27069
4072,119.606,119.798,119.128,119.144,2015-02-27 05:00:00,21417
4073,119.876,119.955,119.636,119.7255,2015-03-01 05:00:00,6881
4074,119.684,120.266,119.588,119.8785,2015-03-02 05:00:00,19502
4075,119.762,119.91,119.38,119.6865,2015-03-03 05:00:00,19894
4076,119.885,119.897,119.471,119.765,2015-03-04 05:00:00,23812
4077,119.9935,120.429,119.764,119.8825,2015-03-05 05:00:00,58510
4078,120.827,121.285,119.903,119.995,2015-03-06 05:00:00,71481
